##time,flux,flux_err
2.460093770117999986e+06,9.849649999999999794e-01,1.183000000000000024e-03
2.460093770831999835e+06,9.928350000000000231e-01,1.132999999999999893e-03
2.460093771546999924e+06,9.922029999999999461e-01,1.121000000000000035e-03
2.460093772260999773e+06,9.969310000000000116e-01,1.152000000000000029e-03
2.460093772975999862e+06,9.956869999999999887e-01,1.124999999999999915e-03
2.460093773690000176e+06,9.923920000000000519e-01,1.105999999999999995e-03
2.460093774404999800e+06,9.842159999999999798e-01,1.087999999999999991e-03
2.460093775119999889e+06,9.871069999999999567e-01,1.088999999999999907e-03
2.460093775834000204e+06,9.938700000000000312e-01,1.083999999999999894e-03
2.460093776548999827e+06,9.926589999999999581e-01,1.072999999999999952e-03
2.460093777263000142e+06,9.890179999999999527e-01,1.074000000000000085e-03
2.460093777978000231e+06,9.916519999999999779e-01,1.108000000000000044e-03
2.460093778692999855e+06,9.920170000000000377e-01,1.126999999999999964e-03
2.460093779407000169e+06,9.942560000000000286e-01,1.113000000000000057e-03
2.460093780121999793e+06,9.883459999999999468e-01,1.110000000000000092e-03
2.460093780836999882e+06,9.890940000000000287e-01,1.082000000000000062e-03
2.460093781551000196e+06,9.955019999999999980e-01,1.051999999999999984e-03
2.460093782265999820e+06,9.892929999999999779e-01,1.025000000000000086e-03
2.460093782980000135e+06,9.948500000000000121e-01,1.013000000000000012e-03
2.460093783695000224e+06,9.890689999999999760e-01,9.959999999999999236e-04
2.460093784409000073e+06,9.887610000000000010e-01,9.909999999999999105e-04
2.460093785124000162e+06,9.907979999999999565e-01,1.012000000000000096e-03
2.460093785838999785e+06,9.853549999999999809e-01,1.020000000000000073e-03
2.460093786553000100e+06,9.892760000000000442e-01,1.007000000000000083e-03
2.460093787268000189e+06,9.882109999999999506e-01,9.859999999999998974e-04
2.460093787982999813e+06,9.852400000000000047e-01,9.759999999999999796e-04
2.460093788697000127e+06,9.911640000000000450e-01,9.920000000000000432e-04
2.460093789412000217e+06,9.876859999999999529e-01,9.820000000000000170e-04
2.460093790126999840e+06,9.924300000000000344e-01,9.770000000000000039e-04
2.460093790841999929e+06,9.901809999999999778e-01,9.680000000000000019e-04
2.460093791555999778e+06,9.884579999999999478e-01,9.690000000000000262e-04
2.460093792270999867e+06,9.930790000000000450e-01,9.759999999999999796e-04
2.460093792985000182e+06,9.896080000000000432e-01,9.810000000000001011e-04
2.460093793699999806e+06,9.907599999999999740e-01,9.840000000000000656e-04
2.460093794414000120e+06,9.938879999999999937e-01,9.700000000000000505e-04
2.460093795129000209e+06,9.862410000000000343e-01,9.569999999999999514e-04
2.460093795843000058e+06,9.902260000000000506e-01,9.659999999999999533e-04
2.460093796558000147e+06,9.928040000000000198e-01,9.650000000000000374e-04
2.460093797271999996e+06,9.903560000000000141e-01,9.600000000000000243e-04
2.460093797987000085e+06,9.905059999999999976e-01,9.560000000000000355e-04
2.460093798702000175e+06,9.873659999999999659e-01,9.550000000000000112e-04
2.460093799416000023e+06,9.908869999999999623e-01,9.680000000000000019e-04
2.460093800131000113e+06,9.934659999999999602e-01,9.759999999999999796e-04
2.460093800846000202e+06,9.931179999999999453e-01,9.659999999999999533e-04
2.460093801560000051e+06,9.901189999999999714e-01,9.550000000000000112e-04
2.460093802275000140e+06,9.881619999999999848e-01,9.560000000000000355e-04
2.460093802988999989e+06,9.922469999999999901e-01,9.520000000000000467e-04
2.460093803704000078e+06,9.882959999999999523e-01,9.389999999999999476e-04
2.460093804417999927e+06,9.927169999999999606e-01,9.399999999999999719e-04
2.460093805133000016e+06,9.827399999999999469e-01,9.359999999999999831e-04
2.460093805848000105e+06,9.915840000000000209e-01,9.439999999999999607e-04
2.460093806561999954e+06,9.898839999999999861e-01,9.460000000000000093e-04
2.460093807277999818e+06,9.901480000000000281e-01,9.539999999999999869e-04
2.460093807992999908e+06,9.902919999999999501e-01,9.619999999999999645e-04
2.460093808707999997e+06,9.880910000000000526e-01,9.569999999999999514e-04
2.460093809421999846e+06,9.909219999999999695e-01,9.520000000000000467e-04
2.460093810136999935e+06,9.854330000000000034e-01,9.460000000000000093e-04
2.460093810852000024e+06,9.867660000000000320e-01,9.439999999999999607e-04
2.460093811565999873e+06,9.903600000000000181e-01,9.499999999999999981e-04
2.460093812280999962e+06,9.963600000000000234e-01,9.529999999999999626e-04
2.460093812994999811e+06,9.932490000000000485e-01,9.489999999999999738e-04
2.460093813709999900e+06,9.903659999999999686e-01,9.420000000000000205e-04
2.460093814424999990e+06,9.907190000000000163e-01,9.330000000000000186e-04
2.460093815140000079e+06,9.879559999999999453e-01,9.259999999999999568e-04
2.460093815853999928e+06,9.941309999999999869e-01,9.240000000000000166e-04
2.460093816567999776e+06,9.940419999999999812e-01,9.319999999999999942e-04
2.460093817282999866e+06,9.887299999999999978e-01,9.229999999999999923e-04
2.460093817997999955e+06,9.928179999999999783e-01,9.200000000000000278e-04
2.460093818711999804e+06,9.933089999999999975e-01,9.229999999999999923e-04
2.460093819426999893e+06,9.909270000000000023e-01,9.219999999999999680e-04
