BJD,FLUX,ERRFLUX,AIRMASS,SKY
   9816.399594, 1.004040, 0.001618, 1.077, 3007.
   9816.400735, 0.995082, 0.001564, 1.077, 3070.
   9816.402062, 0.992727, 0.001574, 1.076, 3283.
   9816.403203, 0.993249, 0.001566, 1.076, 3419.
   9816.404344, 0.996057, 0.001556, 1.075, 3605.
   9816.405486, 0.992097, 0.001535, 1.075, 3837.
   9816.406627, 0.995482, 0.001558, 1.074, 4158.
   9816.407769, 0.993593, 0.001604, 1.074, 4658.
   9816.408910, 1.003228, 0.001661, 1.074, 5124.
   9816.410052, 0.993283, 0.001563, 1.073, 5094.
