BJD,FLUX,ERRFLUX,AIRMASS,SKY
     93.973008, 1.001878, 0.001150, 1.298, 5850.
     93.974146, 0.999573, 0.001138, 1.300, 5777.
     93.975284, 0.997903, 0.001144, 1.302, 5705.
     93.976422, 1.000000, 0.001151, 1.304, 5676.
     93.977560, 0.997997, 0.001240, 1.306, 6110.
     93.978698, 0.996826, 0.001181, 1.307, 5781.
     93.979834, 0.995111, 0.001164, 1.309, 5636.
     93.980972, 0.996957, 0.001173, 1.311, 5672.
     93.982110, 1.002853, 0.001190, 1.313, 5770.
     93.983247, 0.998528, 0.001166, 1.314, 5689.
     93.984384, 1.001456, 0.001178, 1.316, 5613.
     93.985522, 0.992869, 0.001157, 1.318, 5585.
     93.986659, 0.998486, 0.001178, 1.320, 5712.
     93.987796, 0.999373, 0.001180, 1.322, 5703.
     93.988935, 0.996178, 0.001145, 1.323, 5497.
     93.990072, 1.000672, 0.001119, 1.325, 5376.
     93.991209, 1.000938, 0.001109, 1.327, 5307.
     93.992347, 0.994127, 0.001094, 1.329, 5310.
     93.993485, 1.002058, 0.001114, 1.331, 5455.
     93.994622, 0.997251, 0.001168, 1.332, 5720.
     93.995760, 1.003062, 0.001203, 1.334, 5898.
     93.996898, 0.998581, 0.001218, 1.336, 6062.
     93.999173, 1.005371, 0.001239, 1.340, 6133.
